TV,Radio,Social Media,Influencer,Sales,Marketing Cost,Profit,ROI (%)
16.0,6.566230788,2.907982773,Mega,54.73275715,25.474213561,29.258543589,114.85553231678037
13.0,9.237764567,2.409567204,Mega,46.67789698,24.647331770999998,22.030565209000002,89.38316493520456
41.0,15.88644602,2.913410175,Mega,150.1778288,59.799856195000004,90.37797260499998,151.1340968952977
83.0,30.02002826,6.922303959,Mega,298.2463398,119.94233221900001,178.30400758099998,148.65811284662925
15.0,8.437407682,1.40599815,Micro,56.5941808,24.843405832,31.750774967999998,127.8036320088723
29.0,9.614382036,1.02716349,Mega,105.8891476,39.641545526,66.247602074,167.11659748621477
55.0,24.89381148,4.273602146,Micro,198.6798248,84.167413626,114.51241117400001,136.05314247012362
31.0,17.35504181,2.289854925,Nano,108.7339319,50.644896735,58.089035165,114.69869406378994
76.0,24.64889821,7.130115956,Macro,270.1894,107.779014166,162.41038583399998,150.6883200693016
13.0,0.431127823,2.229423022,Mega,48.28058223,15.660550845000001,32.620031385,208.2942784570998
62.0,24.34518879,5.151483172,Nano,224.9610192,91.49667196200001,133.46434723800002,145.86798008722093
42.0,15.8073374,3.194924641,Mega,145.5439916,61.002262041,84.541729559,138.58786007341658
64.0,20.24042393,3.921147972,Micro,229.6323807,88.16157190199999,141.470808798,160.46765699148187
53.0,22.35166709,3.031815334,Mega,276.1653513,78.38348242400001,197.78186887599998,252.3259528150815
34.0,0.226326491,2.372705624,Nano,121.3364193,36.599032115,84.737387185,231.5290385787843
36.0,3.90019598,0.060401795,Nano,123.5261126,39.960597775,83.56551482500001,209.11978167974246
60.0,22.35372075,0.940801841,Mega,212.7643968,83.294522591,129.46987420899998,155.4362402012125
25.0,9.905842649,1.853224897,Micro,89.8199226,36.759067546,53.060855054,144.34766330130674
100.0,36.11609149,3.67429598,Macro,353.8046387,139.79038747,214.01425122999999,153.09654340569656
92.0,40.73698967,4.636563904,Nano,329.3505396,137.37355357400003,191.97698602599996,139.7481400396229
46.0,12.69509229,3.88458384,Macro,162.1913335,62.579676129999996,99.61165737000002,159.1757316913427
78.0,35.56822382,2.832450089,Macro,276.4013399,116.400673909,160.00066599099998,137.45682101126465
37.0,2.828972458,4.556701242,Micro,128.4846619,44.385673700000005,84.09898819999998,189.47327186789994
99.0,37.26381865,6.88653481,Nano,349.8615752,143.15035346,206.71122174,144.40147491341025
75.0,20.34898797,1.227180495,Micro,272.2501078,96.576168465,175.67393933500003,181.90195586260572
54.0,27.807614,4.060781965,Nano,192.4619083,85.868395965,106.593512335,124.13590720670685
53.0,34.11167359,4.624148295,Nano,342.9133724,91.73582188500001,251.177550515,273.8053089335986
27.0,7.280088955,2.179478014,Micro,96.74937343,36.459566968999994,60.28980646100001,165.36073100446268
21.0,9.282685174,3.055758381,Mega,76.99292807,33.338443555,43.65448451500001,130.94337905421756
40.0,13.05041081,1.971184795,Nano,139.2887894,55.021595605,84.26719379500001,153.15294452737092
67.0,24.13761593,5.573093351,Mega,234.8510253,96.71070928099999,138.140316019,142.83869598931727
90.0,29.02101661,6.431995293,Micro,323.0321827,125.453011903,197.57917079700002,157.49256857202266
12.0,3.567660711,3.558311365,Nano,40.79219533,19.125972076,21.666223254,113.28168402581535
81.0,27.33577511,5.263650376,Micro,290.7775735,113.599425486,177.17814801400002,155.96746837054687
43.0,16.34871104,2.814013458,Mega,150.6264947,62.162724497999996,88.463770202,142.30999512392063
47.0,17.37652562,1.905040273,Mega,161.7851523,66.28156589299999,95.503586407,144.08770390424067
43.0,18.23019243,4.079293023,Nano,155.5991953,65.30948545300001,90.28970984699998,138.24899893289927
75.0,23.62623841,6.199769157,Mega,263.0206872,104.826007567,158.194679633,150.91167097238647
79.0,23.51057067,2.188926056,Macro,281.5789422,104.69949672599999,176.87944547399997,168.94011051160626
65.0,24.56354623,3.41966808,Macro,231.6700477,92.98321431,138.68683339,149.15254803692537
